URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,TLD_freq
33,26,0,100.0,1.0,0.0799628,0.06572777,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.07914659914283514
17,10,0,100.0,1.0,0.0009815,0.026381503,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,0.000846899407170415
34,7,0,37.64452283,1.0,0.0002773,0.048158494,2,0,0,0,0.0,21,0.618,1,0.029,0,0,0,5,0.147,0,0.00031651796025560967
22,15,0,100.0,1.0,0.5229071,0.04852116,3,1,0,0,0.0,7,0.318,2,0.091,0,0,0,1,0.045,1,0.4765905027502844
34,28,0,74.27777778,0.85,0.5229071,0.062671236,3,2,0,0,0.0,21,0.618,0,0.0,0,0,0,2,0.059,0,0.4765905027502844
29,22,0,100.0,1.0,0.5229071,0.063522402,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
23,16,0,100.0,1.0,0.0326503,0.057317515,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.01704919715647108
107,20,0,20.52443628,0.571428571,0.0001819,0.040343182,5,1,0,0,0.0,83,0.776,10,0.093,0,0,0,6,0.056,1,0.0017151851630067495
30,23,0,100.0,0.533333333,0.5229071,0.063123613,3,1,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,1,0.4765905027502844
28,21,0,100.0,1.0,0.5229071,0.059985591,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
26,20,0,75.45955882,0.666666667,0.0799628,0.053350279,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0,0.07914659914283514
27,21,0,59.43867743,1.0,0.0064109,0.068130896,2,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,0.0030154751618946592
40,32,0,55.12843068,0.583333333,0.0017496,0.040691231,3,4,0,0,0.0,19,0.475,5,0.125,0,0,0,5,0.125,0,0.006266200159114434
26,19,0,100.0,1.0,0.5229071,0.066762608,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
33,26,0,100.0,1.0,0.5229071,0.057054008,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.4765905027502844
27,20,0,100.0,1.0,0.5229071,0.059840035,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
41,33,0,40.46345811,0.379310345,0.001502,0.055002594,3,1,0,0,0.0,28,0.683,1,0.024,0,0,0,4,0.098,1,0.02636936790507883
124,47,0,8.629717539,0.302325581,0.5229071,0.036847726,3,4,0,0,0.0,87,0.702,17,0.137,1,1,0,11,0.105,0,0.4765905027502844
34,25,0,74.86769231,0.571428571,0.5229071,0.060119722,3,1,0,0,0.0,23,0.676,0,0.0,0,0,0,3,0.088,1,0.4765905027502844
26,19,0,100.0,0.833333333,0.028555,0.061092654,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,0.027271871818780637
31,24,0,100.0,1.0,0.5229071,0.055496952,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
30,23,0,100.0,0.866666667,0.5229071,0.065849731,3,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,0.4765905027502844
33,26,0,100.0,1.0,0.0799628,0.058598921,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.07914659914283514
50,19,0,23.89006342,0.625,0.0010349,0.054373105,2,1,0,0,0.0,35,0.7,2,0.04,0,0,0,5,0.1,1,0.0015654807223453126
30,22,0,45.45454545,0.611111111,0.0799628,0.042894784,3,1,0,0,0.0,20,0.667,0,0.0,0,0,0,3,0.1,0,0.07914659914283514
21,14,0,100.0,1.0,0.0023289,0.059938704,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.0017194624327399335
29,22,0,100.0,1.0,0.012178,0.05720703,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.008062653447051678
63,53,0,29.50346098,0.377777778,0.0002752,0.062052489,3,5,0,0,0.0,46,0.73,0,0.0,0,0,0,6,0.095,0,0.009918988511253496
29,22,0,100.0,1.0,0.5229071,0.061735069,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
27,21,0,53.55632449,0.583333333,0.0003718,0.059979215,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,0.0013259536172870133
24,17,0,100.0,0.7,0.0100856,0.054228329,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,0.01270776837728941
26,19,0,100.0,1.0,0.5229071,0.068115096,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
29,22,0,100.0,1.0,0.5229071,0.060465144,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
27,21,0,65.70549789,1.0,0.5229071,0.062684452,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,0.4765905027502844
33,25,0,66.69538462,0.80952381,0.5229071,0.044035208,3,1,0,0,0.0,16,0.485,6,0.182,0,0,0,4,0.121,0,0.4765905027502844
29,23,0,73.40720222,0.5,0.0100856,0.061472591,2,3,0,0,0.0,14,0.483,1,0.034,0,0,0,3,0.103,0,0.01270776837728941
29,22,0,100.0,1.0,0.5229071,0.061791754,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.058701734,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
27,20,0,100.0,1.0,0.0799628,0.060414739,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.07914659914283514
26,19,0,100.0,1.0,0.5229071,0.064819223,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
28,21,0,100.0,0.615384615,0.0799628,0.070421172,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,0.07914659914283514
26,19,0,100.0,0.75,9.16e-05,0.071462562,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,0.000149704440661437
40,32,0,36.61221591,0.607142857,0.5229071,0.03493976,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,4,0.1,1,0.4765905027502844
27,20,0,100.0,1.0,0.0799628,0.065452549,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.07914659914283514
30,21,0,56.48319934,0.411764706,0.001502,0.050726307,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,5,0.167,1,0.02636936790507883
32,24,0,49.47222222,0.571428571,0.0129268,0.05384696,2,1,0,0,0.0,22,0.688,0,0.0,0,0,0,3,0.094,0,0.01795597833990607
51,13,0,31.19130734,1.0,0.5229071,0.058596908,3,0,0,0,0.0,36,0.706,0,0.0,0,0,0,7,0.137,1,0.4765905027502844
26,18,0,46.19883041,0.642857143,0.0009613,0.046974015,3,1,0,0,0.0,14,0.538,2,0.077,0,0,0,3,0.115,0,0.010030197524316279
45,17,0,33.33974088,1.0,0.5229071,0.059946762,3,0,0,0,0.0,32,0.711,0,0.0,0,0,0,5,0.111,1,0.4765905027502844
38,30,0,52.74551971,0.32,0.0017656,0.057149398,4,1,0,0,0.0,26,0.684,0,0.0,0,0,0,5,0.132,0,0.0063046955867130895
27,20,0,100.0,1.0,0.5229071,0.058865035,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
21,14,0,100.0,1.0,0.0799628,0.073277318,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.07914659914283514
24,17,0,100.0,0.666666667,0.5229071,0.066284858,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.075342546,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
36,29,0,100.0,1.0,0.5229071,0.054960961,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,0.4765905027502844
19,12,0,100.0,1.0,0.5229071,0.069920949,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.4765905027502844
28,21,0,100.0,1.0,0.5229071,0.058906331,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
25,18,0,100.0,1.0,0.0326503,0.055128878,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.01704919715647108
28,21,0,100.0,1.0,0.5229071,0.061067024,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
16,9,0,100.0,1.0,0.0023289,0.045143732,2,1,0,0,0.0,3,0.188,0,0.0,0,0,0,1,0.062,1,0.0017194624327399335
34,27,0,100.0,0.9,0.028555,0.058704479,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,1,0.027271871818780637
36,27,0,65.43209877,0.695652174,0.5229071,0.042084353,3,1,0,0,0.0,20,0.556,5,0.139,0,0,0,3,0.083,1,0.4765905027502844
23,16,0,100.0,1.0,3.06e-05,0.053800699,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,2.9940888132287397e-05
31,24,0,100.0,1.0,0.5229071,0.061525217,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
51,43,0,33.33005556,0.75,0.0059772,0.054604244,2,2,0,0,0.0,38,0.745,2,0.039,0,0,0,3,0.059,1,0.02319135649332318
29,22,0,100.0,0.8,0.0100856,0.066172662,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,0.01270776837728941
23,16,0,100.0,1.0,0.0059772,0.061742618,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.02319135649332318
28,21,0,75.08650519,1.0,0.5229071,0.05507583,3,1,0,0,0.0,16,0.571,0,0.0,0,0,0,1,0.036,0,0.4765905027502844
25,18,0,100.0,1.0,0.5229071,0.060718965,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
24,17,0,100.0,1.0,0.5229071,0.042422205,3,1,0,0,0.0,8,0.333,3,0.125,0,0,0,1,0.042,1,0.4765905027502844
31,24,0,100.0,0.823529412,0.028555,0.052395079,2,2,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,1,0.027271871818780637
33,26,0,100.0,1.0,0.012178,0.058155391,2,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.008062653447051678
67,20,0,24.2803792,0.533333333,0.0004041,0.060533234,4,1,0,0,0.0,51,0.761,0,0.0,1,1,0,6,0.119,1,0.0017151851630067495
58,37,0,27.53991292,0.580645161,3e-06,0.06175711,5,1,0,0,0.0,47,0.81,0,0.0,0,0,0,4,0.069,0,2.9940888132287397e-05
19,12,0,100.0,1.0,0.0326503,0.040066403,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.01704919715647108
19,12,0,100.0,1.0,0.0799628,0.071870533,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.07914659914283514
19,12,0,100.0,1.0,0.0040185,0.054973781,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.0030069206224282914
24,17,0,100.0,1.0,0.5229071,0.080226017,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
20,13,0,100.0,1.0,0.0799628,0.055759876,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.07914659914283514
43,17,0,20.53514739,1.0,0.0017496,0.026267361,3,1,0,0,0.0,19,0.442,11,0.256,0,0,0,5,0.116,1,0.006266200159114434
24,17,0,100.0,1.0,0.5229071,0.0676754,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.060609889,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.067291801,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
32,25,0,100.0,1.0,0.5229071,0.059858446,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.070939226,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
25,18,0,71.0,1.0,0.0799628,0.065659361,3,0,0,0,0.0,17,0.68,0,0.0,0,0,0,1,0.04,0,0.07914659914283514
25,18,0,81.66666667,1.0,0.5229071,0.06332542,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
30,23,0,100.0,0.8125,0.028555,0.056698698,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,0.027271871818780637
21,14,0,100.0,1.0,0.0384199,0.058800094,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.03032584240827395
26,19,0,100.0,1.0,0.0015878,0.060802665,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.00198893042593052
28,21,0,100.0,1.0,0.5229071,0.062374288,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
33,24,0,45.84722222,0.333333333,0.0059772,0.061559619,2,2,0,0,0.0,20,0.606,0,0.0,0,0,0,5,0.152,1,0.02319135649332318
19,12,0,100.0,1.0,0.0001245,0.055089616,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,9.409993413004611e-05
21,14,0,100.0,1.0,0.5229071,0.050090546,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.4765905027502844
17,10,0,100.0,1.0,0.012178,0.033999858,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,0.008062653447051678
34,25,0,66.52307692,0.619047619,0.5229071,0.046627345,3,1,0,0,0.0,22,0.647,1,0.029,0,0,0,3,0.088,1,0.4765905027502844
29,22,0,100.0,1.0,0.5229071,0.062899053,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
24,17,0,100.0,1.0,0.0384199,0.056872235,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.03032584240827395
26,19,0,100.0,1.0,0.5229071,0.066371613,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
22,15,0,100.0,0.625,0.0004928,0.045252975,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,0.0006715313481098745
29,22,0,100.0,0.466666667,0.012178,0.060324105,2,3,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,0.008062653447051678
25,18,0,100.0,0.818181818,0.028555,0.063056209,2,2,0,0,0.0,10,0.4,1,0.04,0,0,0,2,0.08,1,0.027271871818780637
27,20,0,60.84558824,0.923076923,0.0180132,0.0160298,2,2,0,0,0.0,7,0.259,7,0.259,0,0,0,2,0.074,0,0.016292120413697528
35,28,0,100.0,0.428571429,0.0326503,0.046683952,2,1,0,0,0.0,20,0.571,0,0.0,0,0,0,3,0.086,1,0.01704919715647108
34,27,0,100.0,0.85,0.0100856,0.062628714,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,1,0.01270776837728941
28,22,0,68.1611436,0.785714286,0.001502,0.049813327,3,2,0,0,0.0,15,0.536,0,0.0,0,0,0,2,0.071,0,0.02636936790507883
27,20,0,100.0,1.0,0.5229071,0.058561384,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
22,15,0,100.0,0.75,0.0022733,0.05652753,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,0.0012617945712892547
30,23,0,100.0,1.0,0.0384199,0.059214336,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.03032584240827395
23,16,0,100.0,1.0,0.5229071,0.066600272,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
22,15,0,100.0,1.0,0.5229071,0.063694016,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.4765905027502844
31,24,0,100.0,1.0,0.5229071,0.049389335,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
28,22,0,40.28027309,0.611111111,0.0799628,0.045722302,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0,0.07914659914283514
31,24,0,100.0,1.0,0.5229071,0.065468262,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
24,17,0,100.0,0.7,0.0100856,0.063574346,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,0.01270776837728941
36,29,0,100.0,0.45,0.0075051,0.062700908,4,1,0,0,0.0,21,0.583,0,0.0,0,0,0,3,0.083,1,0.006693927132432826
28,21,0,100.0,1.0,0.5229071,0.054811618,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
41,24,0,21.06772121,0.714285714,0.0015361,0.041536988,2,1,0,0,0.0,24,0.585,4,0.098,1,1,0,4,0.146,0,0.0012019127950246798
22,15,0,100.0,1.0,0.0799628,0.077201854,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.07914659914283514
104,16,0,10.56880011,0.636363636,0.0002358,0.0370141,4,1,0,0,0.0,79,0.76,10,0.096,0,0,0,7,0.067,1,0.0010650401635627946
25,18,0,100.0,1.0,0.0384199,0.059520922,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.03032584240827395
25,18,0,100.0,1.0,0.5229071,0.05745518,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
98,16,0,18.09903677,0.916666667,0.5229071,0.033423977,3,1,0,0,0.0,48,0.49,32,0.327,0,0,0,10,0.102,1,0.4765905027502844
26,20,0,42.56055363,0.636363636,0.0004041,0.05637582,4,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0,0.0017151851630067495
110,32,0,12.91064303,0.678571429,0.5229071,0.045155711,3,0,0,0,0.0,85,0.773,6,0.055,3,1,0,7,0.1,1,0.4765905027502844
21,12,0,69.01709402,1.0,0.0002752,0.07136155,3,0,0,0,0.0,11,0.524,0,0.0,0,0,0,2,0.095,1,0.009918988511253496
24,17,0,100.0,1.0,0.0384199,0.054277815,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.03032584240827395
20,13,0,100.0,1.0,0.012178,0.048892123,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.008062653447051678
40,32,0,55.13731061,0.607142857,0.5229071,0.065351286,3,1,0,0,0.0,30,0.75,0,0.0,0,0,0,2,0.05,1,0.4765905027502844
46,40,0,41.30612245,0.363636364,0.0036375,0.060630537,2,2,0,0,0.0,31,0.674,0,0.0,0,0,0,4,0.087,0,0.004298656081849834
23,16,0,100.0,1.0,0.012178,0.057132616,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.008062653447051678
33,26,0,100.0,1.0,0.5229071,0.059694506,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.4765905027502844
20,14,0,82.18181818,1.0,0.0019696,0.048253989,2,1,0,0,0.0,6,0.3,2,0.1,0,0,0,1,0.05,0,0.0011805264463587604
19,12,0,100.0,1.0,0.0799628,0.062725882,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.07914659914283514
33,26,0,100.0,0.526315789,0.0019933,0.057635653,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,0.002626243616174923
28,21,0,100.0,1.0,0.5229071,0.062561028,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
27,20,0,100.0,0.538461538,0.0022943,0.043429108,2,1,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,0.0014585489790157147
27,20,0,100.0,1.0,0.0799628,0.062286926,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.07914659914283514
30,23,0,100.0,1.0,0.0384199,0.070047246,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.03032584240827395
19,12,0,100.0,1.0,0.0180132,0.048474184,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.016292120413697528
26,19,0,100.0,1.0,0.5229071,0.049800003,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
22,15,0,100.0,1.0,0.5229071,0.067496223,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.4765905027502844
31,24,0,100.0,1.0,0.5229071,0.067907512,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
34,27,0,100.0,1.0,0.5229071,0.059591991,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,0.4765905027502844
30,23,0,100.0,1.0,0.0069695,0.048457738,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.005727264172733261
31,24,0,100.0,1.0,0.0064109,0.065654519,2,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.0030154751618946592
31,24,0,100.0,0.882352941,0.028555,0.061457374,2,2,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,1,0.027271871818780637
33,26,0,100.0,1.0,0.5229071,0.062500492,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.4765905027502844
45,36,0,30.34284284,0.34375,0.0009613,0.046605277,3,2,0,0,0.0,28,0.622,3,0.067,0,0,0,6,0.133,1,0.010030197524316279
18,11,0,100.0,1.0,0.0004411,0.049569878,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,0.0003421815786547131
26,19,0,100.0,1.0,0.5229071,0.058178179,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
21,14,0,100.0,0.714285714,0.0230451,0.0483149,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,0.009478429728735553
20,13,0,100.0,0.833333333,0.0036307,0.057812972,2,1,0,0,0.0,6,0.3,1,0.05,0,0,0,1,0.05,1,0.002497925524179406
32,25,0,100.0,1.0,0.0799628,0.064681419,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,0.07914659914283514
28,19,0,68.31024931,1.0,0.5229071,0.064218979,3,0,0,0,0.0,18,0.643,0,0.0,0,0,0,2,0.071,1,0.4765905027502844
26,20,0,44.53125,0.583333333,0.0001194,0.035982925,3,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0,0.0016125306894103355
63,20,0,20.42030697,1.0,0.5229071,0.055433781,3,0,0,0,0.0,49,0.778,0,0.0,0,0,0,6,0.095,1,0.4765905027502844
29,22,0,100.0,1.0,0.5229071,0.056096305,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
33,27,0,55.33596838,0.421052632,0.0017496,0.055118818,3,1,0,0,0.0,19,0.576,0,0.0,0,0,0,3,0.091,0,0.006266200159114434
34,27,0,77.78827977,1.0,0.5229071,0.061986293,3,1,0,0,0.0,22,0.647,0,0.0,0,0,0,1,0.029,0,0.4765905027502844
21,14,0,100.0,1.0,0.5229071,0.067452905,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.4765905027502844
