URLLength,DomainLength,IsDomainIP,TLDLegitimateProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,TLD_freq
43,17,0,0.0017496,3,1,0,0,0.0,19,0.442,11,0.256,0,0,0,5,0.116,0.0062662001591144
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
32,25,0,0.5229071,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
25,18,0,0.0799628,3,0,0,0,0.0,17,0.68,0,0.0,0,0,0,1,0.04,0.0791465991428351
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
30,23,0,0.028555,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,0.0272718718187806
21,14,0,0.0384199,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.0303258424082739
26,19,0,0.0015878,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.0019889304259305
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
33,24,0,0.0059772,2,2,0,0,0.0,20,0.606,0,0.0,0,0,0,5,0.152,0.0231913564933231
19,12,0,0.0001245,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,9.409993413004612e-05
21,14,0,0.5229071,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.4765905027502844
17,10,0,0.012178,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,0.0080626534470516
34,25,0,0.5229071,3,1,0,0,0.0,22,0.647,1,0.029,0,0,0,3,0.088,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
24,17,0,0.0384199,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.0303258424082739
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
22,15,0,0.0004928,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,0.0006715313481098
29,22,0,0.012178,2,3,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,0.0080626534470516
25,18,0,0.028555,2,2,0,0,0.0,10,0.4,1,0.04,0,0,0,2,0.08,0.0272718718187806
27,20,0,0.0180132,2,2,0,0,0.0,7,0.259,7,0.259,0,0,0,2,0.074,0.0162921204136975
35,28,0,0.0326503,2,1,0,0,0.0,20,0.571,0,0.0,0,0,0,3,0.086,0.017049197156471
34,27,0,0.0100856,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,0.0127077683772894
28,22,0,0.001502,3,2,0,0,0.0,15,0.536,0,0.0,0,0,0,2,0.071,0.0263693679050788
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
22,15,0,0.0022733,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,0.0012617945712892
30,23,0,0.0384199,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.0303258424082739
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
28,22,0,0.0799628,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0.0791465991428351
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
24,17,0,0.0100856,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,0.0127077683772894
36,29,0,0.0075051,4,1,0,0,0.0,21,0.583,0,0.0,0,0,0,3,0.083,0.0066939271324328
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
41,24,0,0.0015361,2,1,0,0,0.0,24,0.585,4,0.098,1,1,0,4,0.146,0.0012019127950246
22,15,0,0.0799628,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.0791465991428351
104,16,0,0.0002358,4,1,0,0,0.0,79,0.76,10,0.096,0,0,0,7,0.067,0.0010650401635627
25,18,0,0.0384199,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.0303258424082739
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
98,16,0,0.5229071,3,1,0,0,0.0,48,0.49,32,0.327,0,0,0,10,0.102,0.4765905027502844
26,20,0,0.0004041,4,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0.0017151851630067
110,32,0,0.5229071,3,0,0,0,0.0,85,0.773,6,0.055,3,1,0,7,0.1,0.4765905027502844
21,12,0,0.0002752,3,0,0,0,0.0,11,0.524,0,0.0,0,0,0,2,0.095,0.0099189885112534
24,17,0,0.0384199,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.0303258424082739
20,13,0,0.012178,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.0080626534470516
40,32,0,0.5229071,3,1,0,0,0.0,30,0.75,0,0.0,0,0,0,2,0.05,0.4765905027502844
46,40,0,0.0036375,2,2,0,0,0.0,31,0.674,0,0.0,0,0,0,4,0.087,0.0042986560818498
23,16,0,0.012178,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.0080626534470516
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
20,14,0,0.0019696,2,1,0,0,0.0,6,0.3,2,0.1,0,0,0,1,0.05,0.0011805264463587
19,12,0,0.0799628,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0791465991428351
33,26,0,0.0019933,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,0.0026262436161749
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
27,20,0,0.0022943,2,1,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0014585489790157
27,20,0,0.0799628,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.0791465991428351
30,23,0,0.0384199,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.0303258424082739
19,12,0,0.0180132,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0162921204136975
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
34,27,0,0.5229071,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,0.4765905027502844
30,23,0,0.0069695,2,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.0057272641727332
31,24,0,0.0064109,2,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.0030154751618946
31,24,0,0.028555,2,2,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,0.0272718718187806
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
45,36,0,0.0009613,3,2,0,0,0.0,28,0.622,3,0.067,0,0,0,6,0.133,0.0100301975243162
18,11,0,0.0004411,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,0.0003421815786547
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
21,14,0,0.0230451,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,0.0094784297287355
20,13,0,0.0036307,2,1,0,0,0.0,6,0.3,1,0.05,0,0,0,1,0.05,0.0024979255241794
32,25,0,0.0799628,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.0791465991428351
28,19,0,0.5229071,3,0,0,0,0.0,18,0.643,0,0.0,0,0,0,2,0.071,0.4765905027502844
26,20,0,0.0001194,3,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0.0016125306894103
63,20,0,0.5229071,3,0,0,0,0.0,49,0.778,0,0.0,0,0,0,6,0.095,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
33,27,0,0.0017496,3,1,0,0,0.0,19,0.576,0,0.0,0,0,0,3,0.091,0.0062662001591144
34,27,0,0.5229071,3,1,0,0,0.0,22,0.647,0,0.0,0,0,0,1,0.029,0.4765905027502844
21,14,0,0.5229071,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.4765905027502844
25,17,0,0.5229071,3,0,0,0,0.0,16,0.64,0,0.0,0,0,0,2,0.08,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
32,25,0,0.0799628,3,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,0.0791465991428351
31,24,0,0.0384199,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.0303258424082739
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
42,30,0,0.0129268,2,1,0,0,0.0,30,0.714,0,0.0,0,0,0,4,0.095,0.017955978339906
38,30,0,0.5229071,3,1,0,0,0.0,26,0.684,0,0.0,0,0,0,4,0.105,0.4765905027502844
38,29,0,0.0017656,4,1,0,0,0.0,27,0.711,0,0.0,0,0,0,3,0.079,0.006304695586713
47,39,0,0.5229071,3,1,0,0,0.0,36,0.766,0,0.0,0,0,0,4,0.085,0.4765905027502844
33,26,0,0.5229071,3,1,0,0,0.0,19,0.576,0,0.0,0,0,0,2,0.061,0.4765905027502844
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
62,53,0,0.5229071,3,1,0,0,0.0,38,0.613,13,0.21,0,0,0,3,0.048,0.4765905027502844
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
26,20,0,0.0004041,4,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0.0017151851630067
29,22,0,0.028555,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.0272718718187806
86,7,0,0.0129268,2,0,0,0,0.0,65,0.756,7,0.081,1,1,0,4,0.07,0.017955978339906
20,13,0,0.0799628,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.0791465991428351
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
46,38,0,0.0004041,4,2,0,0,0.0,25,0.543,6,0.13,0,0,0,4,0.087,0.0017151851630067
24,17,0,0.0036307,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.0024979255241794
33,17,0,0.5229071,3,0,0,0,0.0,23,0.697,0,0.0,0,0,0,3,0.091,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
29,23,0,0.5229071,3,1,0,0,0.0,16,0.552,1,0.034,0,0,0,1,0.034,0.4765905027502844
36,29,0,0.5229071,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,0.4765905027502844
18,12,0,0.0384199,3,1,0,0,0.0,6,0.333,0,0.0,0,0,0,1,0.056,0.0303258424082739
27,20,0,0.0023289,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0017194624327399
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
120,26,0,0.5229071,3,1,0,0,0.0,60,0.5,39,0.325,1,1,0,11,0.108,0.4765905027502844
21,15,0,0.5229071,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0.4765905027502844
36,19,0,0.0003608,2,1,0,0,0.0,24,0.667,0,0.0,0,0,0,4,0.111,0.000350736118121
23,16,0,0.0129268,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.017955978339906
23,16,0,0.0326503,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.017049197156471
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
91,73,0,0.0003306,4,2,0,0,0.0,66,0.725,12,0.132,0,0,0,5,0.055,0.006257645619648
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
24,15,0,0.5229071,3,0,0,0,0.0,14,0.583,0,0.0,0,0,0,2,0.083,0.4765905027502844
27,20,0,0.028555,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0272718718187806
21,14,0,0.0115013,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.007793185453861
48,39,0,0.0129268,2,1,0,0,0.0,34,0.708,2,0.042,0,0,0,4,0.083,0.017955978339906
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
22,15,0,0.0100856,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,0.0127077683772894
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
34,26,0,0.5229071,3,1,0,0,0.0,24,0.706,0,0.0,0,0,0,2,0.059,0.4765905027502844
167,15,0,0.5229071,3,1,0,0,0.0,123,0.737,20,0.12,3,1,0,12,0.096,0.4765905027502844
42,35,0,0.5229071,3,1,0,0,0.0,27,0.643,0,0.0,0,0,0,3,0.071,0.4765905027502844
41,34,0,0.0799628,3,1,0,0,0.0,28,0.683,0,0.0,0,0,0,1,0.024,0.0791465991428351
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
28,22,0,0.0799628,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0.0791465991428351
33,26,0,0.0056158,2,1,0,0,0.0,20,0.606,0,0.0,0,0,0,2,0.061,0.004187447068787
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
25,17,0,0.0009613,3,1,0,0,0.0,10,0.4,4,0.16,0,0,0,3,0.12,0.0100301975243162
64,25,0,0.0006227,4,1,0,0,0.0,32,0.5,17,0.266,2,1,0,5,0.125,0.002211348452056
22,15,0,0.0012232,2,1,0,0,0.0,7,0.318,3,0.136,0,0,0,1,0.045,0.0010650401635627
17,10,0,0.0003954,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,0.0005859859534461
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
